訂單編號,訂單日期,出貨日期,配送方式,客戶編號,城市,國家,產品名稱,產品類別,銷售數量,銷售金額,商品利潤
P00001,2018-01-01,2018-01-08,快捷,C0008,Paris,France,吸塵器,家電,3,120,36
P00002,2018-01-01,2018-01-08,航運,C0010,Munich,Germany,椅子,傢俱,2,55,15
P00003,2018-01-01,2018-01-08,航運,C0005,Bristol,United Kingdom,櫃子,傢俱,5,114,38
P00004,2018-01-03,2018-01-03,快捷,C0008,London,United Kingdom,延長線,辦公品,3,36,5
P00005,2018-01-03,2018-01-03,航運,C0007,Barcelona,Spain,護貝機,辦公品,1,276,110
P00006,2018-01-03,2018-01-08,航運,C0007,Brussels,Belgium,桌子,傢俱,2,135,-46
P00007,2018-01-03,2018-01-09,航運,C0006,London,United Kingdom,護貝機,辦公品,1,193,50
P00008,2018-01-03,2018-01-07,空運,C0009,Birmingham,United Kingdom,桌子,傢俱,1,6,1
P00009,2018-01-03,2018-01-07,空運,C0005,Munich,Germany,桌子,傢俱,1,211,-70
P00010,2018-01-03,2018-01-07,航運,C0001,London,United Kingdom,麥片,食品,3,338,-123
P00011,2018-01-03,2018-01-09,空運,C0007,Bristol,United Kingdom,沙發,傢俱,4,912,-319
P00012,2018-01-03,2018-01-09,空運,C0006,Rome,Italy,櫃子,傢俱,2,159,-96
P00013,2018-01-03,2018-01-09,空運,C0003,Munich,Germany,延長線,辦公品,2,69,-26
P00014,2018-01-03,2018-01-09,航運,C0002,Brussels,Belgium,沙發,傢俱,2,69,3
P00015,2018-01-04,2018-01-08,空運,C0001,Birmingham,United Kingdom,麥片,食品,3,27,14
P00016,2018-01-05,2018-01-11,航運,C0004,Birmingham,United Kingdom,延長線,辦公品,1,49,23
P00017,2018-01-06,2018-01-10,空運,C0005,Birmingham,United Kingdom,桌子,傢俱,3,50,6
P00018,2018-01-06,2018-01-10,航運,C0006,Paris,France,延長線,辦公品,7,41,-27
P00019,2018-01-06,2018-01-10,航運,C0001,Amsterdam,Netherlands,桌子,傢俱,1,31,13
P00020,2018-01-06,2018-01-13,航運,C0002,Birmingham,United Kingdom,麥片,食品,3,39,12
P00021,2018-01-06,2018-01-13,航運,C0002,Madrid,Spain,護貝機,辦公品,2,90,29
P00022,2018-01-07,2018-01-12,航運,C0003,Rome,Italy,桌子,傢俱,2,18,5
P00023,2018-01-07,2018-01-11,航運,C0005,Barcelona,Spain,桌子,傢俱,1,27,-4
P00024,2018-01-07,2018-01-11,空運,C0006,Munich,Germany,速食麵,食品,7,445,-137
P00025,2018-01-07,2018-01-11,快捷,C0002,Lisbon,Portugal,護貝機,辦公品,3,388,26
P00026,2018-01-07,2018-01-11,空運,C0006,Hamburg,Germany,沙發,傢俱,2,274,-45
P00027,2018-01-08,2018-01-12,航運,C0009,London,United Kingdom,護貝機,辦公品,7,2174,261
P00028,2018-01-09,2018-01-13,快捷,C0003,London,United Kingdom,電腦椅,傢俱,2,240,-12
P00029,2018-01-09,2018-01-14,航運,C0006,Vienna,Austria,投影機,家電,5,45,18
P00030,2018-01-09,2018-01-14,空運,C0007,Berlin,Germany,速食麵,食品,6,177,-157
P00031,2018-01-09,2018-01-14,空運,C0005,Bern,Switzerland,冷氣機,家電,2,10,0
P00032,2018-01-09,2018-01-14,航運,C0001,London,United Kingdom,護貝機,辦公品,2,124,33
P00033,2018-01-09,2018-01-13,空運,C0009,Rome,Italy,桌子,傢俱,5,158,-3
P00034,2018-01-09,2018-01-13,航運,C0005,Paris,France,麥片,食品,7,52,5
P00035,2018-01-09,2018-01-13,航運,C0005,London,United Kingdom,延長線,辦公品,1,9,-2
P00036,2018-01-10,2018-01-11,空運,C0001,Bristol,United Kingdom,沙發,傢俱,2,26,5
P00037,2018-01-10,2018-01-11,空運,C0001,Birmingham,United Kingdom,椅子,傢俱,3,34,16
P00038,2018-01-10,2018-01-11,航運,C0004,Berlin,Germany,麥片,食品,4,30,12
P00039,2018-01-10,2018-01-11,空運,C0001,Madrid,Spain,投影機,家電,6,162,54
P00040,2018-01-10,2018-01-11,空運,C0005,London,United Kingdom,桌子,傢俱,5,2875,511
P00041,2018-01-10,2018-01-15,航運,C0005,Paris,France,冷氣機,家電,3,13,-6
P00042,2018-01-11,2018-01-15,快捷,C0006,Vienna,Austria,護貝機,辦公品,3,142,52
